year_start,name,name_unified,corrected_id,corrected_label,born,source,link_notes,other_notes
1740,39241855,"Kincaid, Alexander, 1710 or 1711-1777.",,,Scotland,Y,,
1740,76369374,"Longman, T.",,"Longman, Thomas",England,Y,,
1740,309837281,"Lumisden, Thomas",,,England,N,,
1740,15008766,"Millar, A.",,"Millar, Andrew",Scotland,Y,,
1740,williammiller_0,"MILLER, W.",,"Miller, William",England,N,,
1740,alexandermurray_0,"MURRAY, A.",,,Scotland,N,,
1740,229679314,"Nourse, J.",,"Nourse, John",England,Y,https://en.wikipedia.org/wiki/John_Nourse,
1740,6514726,"Payne, J.",,"Payne, John",England,N,,
1740,alexanderrannie_0,"RANNIE, Alexander",,,Scotland,N,,
1740,josrichardson_0,"RICHARDSON, J.",bbti_57984,,England,N,,
1740,228716377,"Roberts, J.",,,England,N,,
1740,304984123,"Robertson, J.",,,England,N,,
1740,71829933,"Sandeman, Robert, 1718-1771.",,,Scotland,Y,https://en.wikipedia.org/wiki/Robert_Sandeman,
1740,williamsands_0,"SANDS, W.",,"Sands, William",England,N,,
1740,39467138,"Strahan, William",,,Scotland,Y,,
1740,bbti_70225,"TOVEY, Barnes",,,England,N,,
1740,johntraill_0,"TRAILL, J.",,"Traill, John",Scotland,Y,,
1740,bbti_72117,"WAKELIN, J",,"Wakelin, James",England,Y,"See 'Cultures of Witchcraft in Europe from the Middle Ages to the Present', 199",
1740,adrianwatkins_0,"WATKINS, Adrian",,,England,N,,
1740,bbti_73763,"WAUGH, James",,,England,N,,
1740,bbti_76775,"WILSON, David",,,Scotland,N,,
1740,NV33983,"Withers, E.",,"Withers, Edward",England,N,,
1740,johnwood_0,"WOOD, John",,,England,N,,
1740,charleswright_0,"WRIGHT, C.",,"Wright, Charles",England,N,,
1760,patrickanderson_0,"ANDERSON, P.",,,Scotland,N,ESTC,
1760,balfourauld_0,"AULD, Balfour",,"Balfour, John",Scotland,Y,"It's part of 'Balfour, Auld and Smellie' and so John Balfour",
1760,bbti_115154,"BALDWIN, Henry",,,England,N,,
1760,12162986,"Baldwin, R.",39233801,,England,N,Same BBTI link,
1760,39233801,"Baldwin, R. (Robert), 1737-1810,",,,England,N,Same BBTI link,
1760,elphingstonbalfour_0,"BALFOUR, Elphingston",,,Scotland,Y,,
1760,32051268,"Balfour, J.",,,Scotland,Y,,
1760,bbti_115810,"BALFOUR, John",32051268,,Scotland,Y,,
1760,tbecket_2,"BECKET, T.",,,Scotland,N,ESTC,
1760,abell_1,"BELL, A.",,,England,N,ESTC,
1760,johnbell_1,"BELL, J.",,,England,Y,,
1760,235929427,"Boutcher, William.",,,England,N,,
1760,bbti_10893,"BUNYAN, James",,,England,N,,
1760,rcadell_0,"CADELL, R.",,,Scotland,N,,
1760,NV4519,"Cadell, T. (Thomas),",,,England,Y,https://en.wikipedia.org/wiki/Thomas_Cadell_(publisher),
1760,44152432,"Carnan, T.",,"Carnan, Thomas",England,Y,https://www.britishmuseum.org/collection/term/BIOG184429,
1760,32051321,"Caslon, T.",,,England,N,,
1760,88450671,"Charnley, W.",,"Charnley, William",England,N,,
1760,jamescochran_0,"COCHRAN, J.",,,Scotland,N,,
1760,NV7176,"Coote, J.",,"Coote, John",England,N,,
1760,gulielmicreech_0,"CREECH, Gulielmi",49278054,,Scotland,Y,,
1760,49278054,"Creech, W.",,,Scotland,Y,,
1760,bbti_112410,"CROWDER, Stanley",,,England,N,,
1760,bbti_112364,"CUMBERLEGE, Stephen Austen",,,England,N,,
